FileUUID	Table	RowInJSON	JSONVariable	Error	Notes	SQLExecuted
acoto Qw cq_2018-06-05_16-38-21	maintable	1		Data too long for column 'sem_comunidad_totales' at row 1		INSERT INTO maintable (surveyid,originid,start_time_survey_1,day_of_survey,device_id_3,txt_rep_muni_comusan_4,date_fecha_informe_6,sem_comunidad_totales,qw,img_sig_resp,end_time_survey_26,rowuuid)  VALUES ('acoto Qw cq_2018-06-05_16-38-21','FORMHUB-JSON','2018-06-05 16:38:21','2018-06-05','478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','Allan','2018-07-01','85 86 87 92 95 98 100 103 105 109 113','2.0','478c84a8-0672-4386-81f3-87507f8cd1df/1528238330121.jpg','2018-06-05 16:38:52',NULL)
acoto Qw cq_2018-06-05_16-38-21	maintable_msel_sem_comunidad_totales	1		Cannot add or update a child row: a foreign key constraint fails (`DATA_acoto_Qw`.`maintable_msel_sem_comunidad_totales`, CONSTRAINT `fk2_maintable_msel_sem_comunidad_totales_maintable` FOREIGN KEY (`device_id_3`) REFERENCES `maintable` (`device_id_3`) ON DE)		INSERT INTO maintable_msel_sem_comunidad_totales(device_id_3,sem_comunidad_totales)  VALUES ('478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','85')
acoto Qw cq_2018-06-05_16-38-21	maintable_msel_sem_comunidad_totales	1		Cannot add or update a child row: a foreign key constraint fails (`DATA_acoto_Qw`.`maintable_msel_sem_comunidad_totales`, CONSTRAINT `fk2_maintable_msel_sem_comunidad_totales_maintable` FOREIGN KEY (`device_id_3`) REFERENCES `maintable` (`device_id_3`) ON DE)		INSERT INTO maintable_msel_sem_comunidad_totales(device_id_3,sem_comunidad_totales)  VALUES ('478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','86')
acoto Qw cq_2018-06-05_16-38-21	maintable_msel_sem_comunidad_totales	1		Cannot add or update a child row: a foreign key constraint fails (`DATA_acoto_Qw`.`maintable_msel_sem_comunidad_totales`, CONSTRAINT `fk2_maintable_msel_sem_comunidad_totales_maintable` FOREIGN KEY (`device_id_3`) REFERENCES `maintable` (`device_id_3`) ON DE)		INSERT INTO maintable_msel_sem_comunidad_totales(device_id_3,sem_comunidad_totales)  VALUES ('478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','87')
acoto Qw cq_2018-06-05_16-38-21	maintable_msel_sem_comunidad_totales	1		Cannot add or update a child row: a foreign key constraint fails (`DATA_acoto_Qw`.`maintable_msel_sem_comunidad_totales`, CONSTRAINT `fk2_maintable_msel_sem_comunidad_totales_maintable` FOREIGN KEY (`device_id_3`) REFERENCES `maintable` (`device_id_3`) ON DE)		INSERT INTO maintable_msel_sem_comunidad_totales(device_id_3,sem_comunidad_totales)  VALUES ('478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','92')
acoto Qw cq_2018-06-05_16-38-21	maintable_msel_sem_comunidad_totales	1		Cannot add or update a child row: a foreign key constraint fails (`DATA_acoto_Qw`.`maintable_msel_sem_comunidad_totales`, CONSTRAINT `fk2_maintable_msel_sem_comunidad_totales_maintable` FOREIGN KEY (`device_id_3`) REFERENCES `maintable` (`device_id_3`) ON DE)		INSERT INTO maintable_msel_sem_comunidad_totales(device_id_3,sem_comunidad_totales)  VALUES ('478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','95')
acoto Qw cq_2018-06-05_16-38-21	maintable_msel_sem_comunidad_totales	1		Cannot add or update a child row: a foreign key constraint fails (`DATA_acoto_Qw`.`maintable_msel_sem_comunidad_totales`, CONSTRAINT `fk2_maintable_msel_sem_comunidad_totales_maintable` FOREIGN KEY (`device_id_3`) REFERENCES `maintable` (`device_id_3`) ON DE)		INSERT INTO maintable_msel_sem_comunidad_totales(device_id_3,sem_comunidad_totales)  VALUES ('478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','98')
acoto Qw cq_2018-06-05_16-38-21	maintable_msel_sem_comunidad_totales	1		Cannot add or update a child row: a foreign key constraint fails (`DATA_acoto_Qw`.`maintable_msel_sem_comunidad_totales`, CONSTRAINT `fk2_maintable_msel_sem_comunidad_totales_maintable` FOREIGN KEY (`device_id_3`) REFERENCES `maintable` (`device_id_3`) ON DE)		INSERT INTO maintable_msel_sem_comunidad_totales(device_id_3,sem_comunidad_totales)  VALUES ('478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','100')
acoto Qw cq_2018-06-05_16-38-21	maintable_msel_sem_comunidad_totales	1		Cannot add or update a child row: a foreign key constraint fails (`DATA_acoto_Qw`.`maintable_msel_sem_comunidad_totales`, CONSTRAINT `fk2_maintable_msel_sem_comunidad_totales_maintable` FOREIGN KEY (`device_id_3`) REFERENCES `maintable` (`device_id_3`) ON DE)		INSERT INTO maintable_msel_sem_comunidad_totales(device_id_3,sem_comunidad_totales)  VALUES ('478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','103')
acoto Qw cq_2018-06-05_16-38-21	maintable_msel_sem_comunidad_totales	1		Cannot add or update a child row: a foreign key constraint fails (`DATA_acoto_Qw`.`maintable_msel_sem_comunidad_totales`, CONSTRAINT `fk2_maintable_msel_sem_comunidad_totales_maintable` FOREIGN KEY (`device_id_3`) REFERENCES `maintable` (`device_id_3`) ON DE)		INSERT INTO maintable_msel_sem_comunidad_totales(device_id_3,sem_comunidad_totales)  VALUES ('478c84a8-0672-4386-81f3-87507f8cd1df-358197060931005','105')
